_previousMonth,_previousYear,Date,Investment Value,Type of structure,_valueConnector,Dollars
2018-10-01,2017-11-01,2018-11-01,Seasonally adjusted - constant,Total industrial,2114450,2114450
2018-10-01,2017-11-01,2018-11-01,Seasonally adjusted - constant,Total institutional and governmental,2128831,2128831
2018-10-01,2017-11-01,2018-11-01,Seasonally adjusted - constant,Total residential,107935173,107935173
2018-10-01,2017-11-01,2018-11-01,Seasonally adjusted - current,Total commercial,23892002,23892002
2018-10-01,2017-11-01,2018-11-01,Seasonally adjusted - current,Total industrial,2396447,2396447
2018-10-01,2017-11-01,2018-11-01,Seasonally adjusted - current,Total institutional and governmental,2383967,2383967
2018-10-01,2017-11-01,2018-11-01,Seasonally adjusted - current,Total residential,123091789,123091789
2018-10-01,2017-11-01,2018-11-01,Unadjusted - constant,Total commercial,21983334,21983334
2018-10-01,2017-11-01,2018-11-01,Unadjusted - constant,Total industrial,2218272,2218272
2018-10-01,2017-11-01,2018-11-01,Unadjusted - constant,Total institutional and governmental,2214758,2214758
2018-10-01,2017-11-01,2018-11-01,Unadjusted - constant,Total residential,116925869,116925869
2018-10-01,2017-11-01,2018-11-01,Unadjusted - current,Total commercial,24846727,24846727
2018-10-01,2017-11-01,2018-11-01,Unadjusted - current,Total industrial,2514261,2514261
2018-10-01,2017-11-01,2018-11-01,Unadjusted - current,Total institutional and governmental,2480657,2480657
2018-10-01,2017-11-01,2018-11-01,Unadjusted - current,Total residential,133392917,133392917
2018-11-01,2017-12-01,2018-12-01,Seasonally adjusted - constant,Total commercial,21165962,21165962
2018-11-01,2017-12-01,2018-12-01,Seasonally adjusted - constant,Total industrial,2281283,2281283
2018-11-01,2017-12-01,2018-12-01,Seasonally adjusted - constant,Total institutional and governmental,1830505,1830505
2018-11-01,2017-12-01,2018-12-01,Seasonally adjusted - constant,Total residential,112854695,112854695
2018-11-01,2017-12-01,2018-12-01,Seasonally adjusted - current,Total commercial,23972491,23972491
2018-11-01,2017-12-01,2018-12-01,Seasonally adjusted - current,Total industrial,2591255,2591255
2018-11-01,2017-12-01,2018-12-01,Seasonally adjusted - current,Total institutional and governmental,2053347,2053347
2018-11-01,2017-12-01,2018-12-01,Seasonally adjusted - current,Total residential,129100159,129100159
2018-11-01,2017-12-01,2018-12-01,Unadjusted - constant,Total commercial,22230827,22230827
2018-11-01,2017-12-01,2018-12-01,Unadjusted - constant,Total industrial,2534205,2534205
2018-11-01,2017-12-01,2018-12-01,Unadjusted - constant,Total institutional and governmental,1748013,1748013
2018-11-01,2017-12-01,2018-12-01,Unadjusted - constant,Total residential,114355818,114355818
2018-11-01,2017-12-01,2018-12-01,Unadjusted - current,Total commercial,25125746,25125746
2018-11-01,2017-12-01,2018-12-01,Unadjusted - current,Total industrial,2873160,2873160
2018-11-01,2017-12-01,2018-12-01,Unadjusted - current,Total institutional and governmental,1957876,1957876
2018-11-01,2017-12-01,2018-12-01,Unadjusted - current,Total residential,130471945,130471945
2018-12-01,2018-01-01,2019-01-01,Seasonally adjusted - constant,Total commercial,20862714,20862714
2018-12-01,2018-01-01,2019-01-01,Seasonally adjusted - constant,Total industrial,2263510,2263510
2018-12-01,2018-01-01,2019-01-01,Seasonally adjusted - constant,Total institutional and governmental,1641538,1641538
2018-12-01,2018-01-01,2019-01-01,Seasonally adjusted - constant,Total residential,110818363,110818363
2018-12-01,2018-01-01,2019-01-01,Seasonally adjusted - current,Total commercial,23650308,23650308
2018-12-01,2018-01-01,2019-01-01,Seasonally adjusted - current,Total industrial,2569192,2569192
2018-12-01,2018-01-01,2019-01-01,Seasonally adjusted - current,Total institutional and governmental,1841487,1841487
2018-12-01,2018-01-01,2019-01-01,Seasonally adjusted - current,Total residential,126763541,126763541
2018-12-01,2018-01-01,2019-01-01,Unadjusted - constant,Total commercial,21160478,21160478
2018-12-01,2018-01-01,2019-01-01,Unadjusted - constant,Total industrial,2454527,2454527
2018-12-01,2018-01-01,2019-01-01,Unadjusted - constant,Total institutional and governmental,1495509,1495509
2018-12-01,2018-01-01,2019-01-01,Unadjusted - constant,Total residential,107336645,107336645
2018-12-01,2018-01-01,2019-01-01,Unadjusted - current,Total commercial,24028444,24028444
2018-12-01,2018-01-01,2019-01-01,Unadjusted - current,Total industrial,2792955,2792955
2018-12-01,2018-01-01,2019-01-01,Unadjusted - current,Total institutional and governmental,1679843,1679843
2018-12-01,2018-01-01,2019-01-01,Unadjusted - current,Total residential,123271372,123271372
2020-05-01,2019-06-01,2020-06-01,Seasonally adjusted - constant,Total commercial,22354504,22354504
2020-05-01,2019-06-01,2020-06-01,Seasonally adjusted - constant,Total industrial,1144016,1144016
2020-05-01,2019-06-01,2020-06-01,Seasonally adjusted - constant,Total institutional and governmental,1492797,1492797
2020-05-01,2019-06-01,2020-06-01,Seasonally adjusted - constant,Total residential,105729312,105729312
2020-05-01,2019-06-01,2020-06-01,Seasonally adjusted - current,Total commercial,25849349,25849349
2020-05-01,2019-06-01,2020-06-01,Seasonally adjusted - current,Total industrial,1325378,1325378
2020-05-01,2019-06-01,2020-06-01,Seasonally adjusted - current,Total institutional and governmental,1706840,1706840
2020-05-01,2019-06-01,2020-06-01,Seasonally adjusted - current,Total residential,126545037,126545037
2020-05-01,2019-06-01,2020-06-01,Unadjusted - constant,Total commercial,21112035,21112035
2020-05-01,2019-06-01,2020-06-01,Unadjusted - constant,Total industrial,1027546,1027546
2020-05-01,2019-06-01,2020-06-01,Unadjusted - constant,Total institutional and governmental,1493548,1493548
2020-05-01,2019-06-01,2020-06-01,Unadjusted - constant,Total residential,115005932,115005932
2020-05-01,2019-06-01,2020-06-01,Unadjusted - current,Total commercial,24366725,24366725
2020-05-01,2019-06-01,2020-06-01,Unadjusted - current,Total industrial,1187992,1187992
2020-05-01,2019-06-01,2020-06-01,Unadjusted - current,Total institutional and governmental,1703131,1703131
2020-05-01,2019-06-01,2020-06-01,Unadjusted - current,Total residential,136422756,136422756
2020-06-01,2019-07-01,2020-07-01,Seasonally adjusted - constant,Total commercial,20916677,20916677
2020-06-01,2019-07-01,2020-07-01,Seasonally adjusted - constant,Total industrial,982227,982227
2020-06-01,2019-07-01,2020-07-01,Seasonally adjusted - constant,Total institutional and governmental,1384522,1384522
2020-06-01,2019-07-01,2020-07-01,Seasonally adjusted - constant,Total residential,108507669,108507669
2020-06-01,2019-07-01,2020-07-01,Seasonally adjusted - current,Total commercial,24253844,24253844
2020-06-01,2019-07-01,2020-07-01,Seasonally adjusted - current,Total industrial,1140001,1140001
2020-06-01,2019-07-01,2020-07-01,Seasonally adjusted - current,Total institutional and governmental,1589263,1589263
