_comparatorDateQ,_industrialFilter,_previousQ,_previousYear,Date,Market,_valueConnector,Gross Rent (psf),Vacancy Rate
Q2 2018,1,2019-01-01,2018-04-01,2019-04-01,HRM,12.52,12.52,0.096
Q2 2018,0,2019-01-01,2018-04-01,2019-04-01,Atlantic Acres Industrial Park,10.01,10.01,0
Q2 2018,0,2019-01-01,2018-04-01,2019-04-01,Bayers Lake,15.73,15.73,0.412
Q2 2018,0,2019-01-01,2018-04-01,2019-04-01,Bedford,20.88,20.88,0.033
Q2 2018,0,2019-01-01,2018-04-01,2019-04-01,Burnside,12.31,12.31,0.092
Q2 2018,0,2019-01-01,2018-04-01,2019-04-01,Halifax,13.07,13.07,0.05
Q2 2018,0,2019-01-01,2018-04-01,2019-04-01,Ragged Lake Business Park,12.55,12.55,0
Q2 2018,0,2019-01-01,2018-04-01,2019-04-01,Sackville,12.03,12.03,0.147
Q3 2018,1,2019-04-01,2018-07-01,2019-07-01,HRM,12.6,12.6,0.084
Q3 2018,0,2019-04-01,2018-07-01,2019-07-01,Atlantic Acres Industrial Park,10.01,10.01,0
Q3 2018,0,2019-04-01,2018-07-01,2019-07-01,Bayers Lake,15.73,15.73,0.357
Q3 2018,0,2019-04-01,2018-07-01,2019-07-01,Bedford,22.46,22.46,0.07
Q3 2018,0,2019-04-01,2018-07-01,2019-07-01,Burnside,12.42,12.42,0.079
Q3 2018,0,2019-04-01,2018-07-01,2019-07-01,Halifax,13.07,13.07,0.053
Q3 2018,0,2019-04-01,2018-07-01,2019-07-01,Ragged Lake Business Park,12.55,12.55,0
Q3 2018,0,2019-04-01,2018-07-01,2019-07-01,Sackville,12.03,12.03,0.147
Q4 2018,0,2019-07-01,2018-10-01,2019-10-01,Atlantic Acres Industrial Park,10.01,10.01,0.067
Q4 2018,0,2019-07-01,2018-10-01,2019-10-01,Bayers Lake,16.33,16.33,0.363
Q4 2018,0,2019-07-01,2018-10-01,2019-10-01,Bedford,22.46,22.46,0.095
Q4 2018,0,2019-07-01,2018-10-01,2019-10-01,Burnside,12.42,12.42,0.062
Q4 2018,0,2019-07-01,2018-10-01,2019-10-01,Halifax,13.07,13.07,0.043
Q4 2018,0,2019-07-01,2018-10-01,2019-10-01,Ragged Lake Business Park,12.55,12.55,0
Q4 2018,0,2019-07-01,2018-10-01,2019-10-01,Sackville,12.03,12.03,0.095
Q4 2018,1,2019-07-01,2018-10-01,2019-10-01,HRM,12.65,12.65,0.071
Q1 2019,0,2019-10-01,2019-01-01,2020-01-01,Atlantic Acres Industrial Park,10.01,10.01,0.067
Q1 2019,0,2019-10-01,2019-01-01,2020-01-01,Bayers Lake,16.33,16.33,0.358
Q1 2019,0,2019-10-01,2019-01-01,2020-01-01,Bedford,20.18,20.18,0.13
Q1 2019,0,2019-10-01,2019-01-01,2020-01-01,Burnside,12.69,12.69,0.065
Q1 2019,0,2019-10-01,2019-01-01,2020-01-01,Halifax,13,13,0.045
Q1 2019,0,2019-10-01,2019-01-01,2020-01-01,Ragged Lake Business Park,12.55,12.55,0.444
Q1 2019,0,2019-10-01,2019-01-01,2020-01-01,Sackville,12.03,12.03,0.095
Q1 2019,1,2019-10-01,2019-01-01,2020-01-01,HRM,12.85,12.85,0.076
